Home,Away,H_PTsScrd,H_PTsAllwd,H_FirstDowns,H_RushYDs,H_PassYDs,H_TDs,H_Sacks,H_SacksAllwd,H_TotalYDs,H_YDsAllwd,H_TurnoverMargin,H_PenYDs,H_3rdDwnPCT,H_3rdDwnAtt,H_ToP,H_FGPCT,H_FGAtt,A_PTsScrd,A_PTsAllwd,A_FirstDowns,A_RushYDs,A_PassYDs,A_TDs,A_Sacks,A_SacksAllwd,A_TotalYDs,A_YDsAllwd,A_TurnoverMargin,A_PenYDs,A_3rdDwnPCT,A_3rdDwnAtt,A_ToP,A_FGPCT,A_FGAtt,Outcome
GB,WAS,27,13,14,78,188,3,4,0,266,246,1,40,0.4,10,24.58,1,2,21,6,25,220,233,3,2,3,432,231,0,89,0.36,11,29.47,0,0,1
CIN,JAX,17,16,11,46,113,2,2,3,141,327,2,33,0.5,14,24.18,1,1,26,10,19,200,178,2,1,0,378,255,2,93,0.42,12,31,1,4,1
DAL,NYG,20,24,22,119,188,2,1,0,307,302,-1,42,0.64,11,25.13,1,2,6,21,17,74,168,0,3,2,231,432,0,35,0.25,16,30.53,1,2,1
DET,CHI,13,27,16,46,225,1,0,4,246,266,-1,40,0.33,15,35.42,1,2,24,27,20,119,210,2,3,2,317,254,0,127,0.25,12,32.88,0.5,2,1
TEN,LAR,12,20,7,71,112,0,1,6,133,317,2,131,0.14,14,28.07,1,4,14,9,18,72,245,2,3,3,296,265,1,60,0.54,13,28.58,0,0,0
MIA,NE,8,33,12,78,146,1,1,3,211,418,-3,15,0.5,10,21.28,0,0,13,20,18,60,287,1,4,4,336,389,0,70,0.29,14,30.08,0.66,3,0
NO,SF,13,20,21,107,214,1,5,1,315,276,0,89,0.36,14,26.23,0.67,3,17,13,24,119,277,2,1,1,384,230,0,61,0.5,14,38,0.33,3,0
NYJ,BUF,32,34,23,182,218,4,4,1,394,271,-1,74,0.5,14,34.72,1,2,41,40,29,108,394,5,2,1,497,432,1,38,0.47,15,34.82,1,3,0
PIT,SEA,34,32,19,53,244,4,1,4,271,394,1,26,0.4,10,25.28,1,2,13,17,14,84,150,1,1,1,230,384,0,30,0.3,10,22,0.5,2,0
BAL,CLE,40,41,19,238,209,5,1,2,432,497,-1,51,0.55,11,25.18,1,2,16,17,22,49,290,2,3,2,327,141,-2,53,0.56,16,35.82,0.5,2,1
IND,DEN,33,8,27,156,272,3,3,1,418,211,3,45,0.47,15,38.72,1,4,20,12,20,151,176,2,6,1,317,133,-2,45,0.4,15,32,1,2,1
ARI,CAR,20,13,19,146,163,2,1,5,276,315,0,54,0.46,13,33.77,0.67,3,10,26,15,113,154,1,0,1,255,378,-2,35,0.53,15,29,1,1,1
KC,PHI,21,27,18,98,258,2,3,2,347,394,0,71,0.36,14,27.27,1,3,24,20,20,158,152,3,0,1,302,307,1,110,0.62,13,34.87,1,1,0
MIN,ATL,27,24,14,120,143,3,2,3,254,317,0,50,0.25,12,27.12,1,2,20,23,23,69,298,2,1,1,358,260,0,55,0.4,15,35.2,0.67,3,0
HOU,TB,9,14,18,114,188,0,3,3,265,296,-1,80,0.22,9,31.42,1,3,23,20,16,101,167,3,1,1,260,358,0,60,0.5,14,24.8,0.5,2,0
LV,LAC,20,13,21,56,361,2,4,4,389,336,0,77,0.38,13,30,0.67,3,27,21,22,90,318,3,2,3,394,347,0,49,0.54,13,32.73,1,2,0
