Home,Away,H_PTsScrd,H_PTsAllwd,H_FirstDowns,H_RushYDs,H_PassYDs,H_TDs,H_Sacks,H_SacksAllwd,H_TotalYDs,H_YDsAllwd,H_TurnoverMargin,H_PenYDs,H_3rdDwnPCT,H_3rdDwnAtt,H_ToP,H_FGPCT,H_FGAtt,A_PTsScrd,A_PTsAllwd,A_FirstDowns,A_RushYDs,A_PassYDs,A_TDs,A_Sacks,A_SacksAllwd,A_TotalYDs,A_YDsAllwd,A_TurnoverMargin,A_PenYDs,A_3rdDwnPCT,A_3rdDwnAtt,A_ToP,A_FGPCT,A_FGAtt,Outcome
LAC,MIN,21.6,23.3,20.86,111.14,279.57,2.14,2.43,3,372.71,315.86,-3,54.14,0.46,100,32.13,1,15,24.2,20.8,18.33,103.83,239,2.5,2.67,3.83,318.67,301.67,-4,61.17,0.34,73,29.77,0.93,14,1
ATL,MIA,18.3,20,20.67,136.33,239.67,1.83,2.5,1.5,364.33,265.17,3,38.33,0.42,78,32.25,0.73,15,20,29.3,16,92.43,200.86,2.29,2,2.43,279,363.14,-6,55.57,0.4,84,27.03,0.9,10,0
BAL,CHI,24,32.3,17.17,126.17,206.67,2.83,1.33,3.33,309.17,380.83,-7,45.67,0.41,69,27.77,0.9,10,25.3,25.8,19.33,129.33,229.67,2.67,2,1.83,346.5,350,11,75.67,0.4,77,31.25,0.88,16,1
CAR,BUF,20.7,21.7,21,140.14,200.86,2.29,1.57,1.71,326.71,295.71,-2,50,0.37,91,33.18,0.92,13,27.8,22.8,23.17,151,238.17,3.33,2.5,2,378.33,323.5,-1,58.5,0.41,68,33.18,0.91,11,0
CIN,NYJ,19.4,30.6,17.71,68.86,215.29,2.14,1.57,2.57,268.71,394.43,-2,36.29,0.39,90,27.07,0.83,12,18.4,26.1,17.57,127.86,174.86,1.71,1.43,4.43,271.29,326.43,-9,56.14,0.33,91,28.82,1,14,0
HOU,SF,21.2,14.7,18,106.17,221.33,2.17,2.33,2.5,304.33,274.17,4,62,0.31,75,30.92,0.87,15,20.7,19.7,22.14,95.29,284.29,1.86,1.29,2,366.57,317.43,-5,51.14,0.48,101,31.73,0.9,20,1
NE,CLE,25.9,19,20,103.43,250.86,3.14,2.57,3.14,343.29,312.86,2,63.86,0.41,82,30.9,0.9,10,16.1,21.7,17.43,92.57,194.43,1.71,2.57,2.71,270.71,256.14,0,55.43,0.35,104,30.78,0.83,12,1
PHI,NYG,24.3,23.6,17.14,88.14,214,3.14,1.57,3,286.86,349.14,4,65.14,0.34,85,29.55,0.86,7,21.9,25.3,21.71,125.14,225.29,2.71,2.14,2.86,336.57,376,-4,72.29,0.4,96,31,1,8,1
NO,TB,17.9,26.6,19.43,100.14,209.86,1.71,2,2.14,297.86,335.71,1,56,0.37,87,28.07,0.7,20,24.9,25,19.57,99.57,252.43,2.71,2.86,2,338.86,328,4,53.14,0.38,89,30.7,0.78,18,0
DEN,DAL,23.3,18.1,20.14,131.86,222.29,2.71,4.86,1.14,347,273.14,-2,82.14,0.36,95,30.95,0.9,10,31.7,29.4,23,122.14,274.57,3.57,2.14,1.14,390.57,401.57,0,67.86,0.44,84,28.85,1,15,1
IND,TEN,33.1,20,23.57,130.14,257,3.86,2.71,0.86,380.29,345.71,7,54.71,0.47,77,29.68,0.94,16,13.7,27.4,15.29,75.71,193.71,1,1.86,4.29,235.57,349.57,-4,54.29,0.28,92,26.97,0.8,20,1
PIT,GB,25,23.3,17.67,94.5,213.67,2.83,3.67,1.5,297.5,374.67,5,42.17,0.43,67,27.4,0.83,12,26.3,20.8,20.83,117.5,239.67,3,3,1.67,343.33,288.5,0,63.17,0.49,75,30.12,0.85,13,0
KC,WAS,26.6,17.7,23.29,123.43,257.14,3.14,2.14,1.57,370.57,280.29,5,55.43,0.44,90,32.28,0.8,15,25.7,24.3,19.43,148.86,208.14,3,2.71,2.57,345,364.29,-5,61.29,0.36,76,28.1,0.71,14,1
